objectid,osm_id,fcode,facility_type,name,subdistrict,district,state,country,longitude,latitude
219522,1344493262,7214,Quarry,,Regidi Amadalavalasa,Vizianagaram,Andhra Pradesh,India,83.71044905922446,18.483112589363103
219531,1204149200,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.72378661973028,13.156128439709896
219566,1224630308,7204,Industrial,,Sira,Tumakuru,Karnataka,India,76.81910564225316,13.910978061328992
219636,1268467302,7204,Industrial,,Krishnarayapuram,Karur,Tamil Nadu,India,78.34538709288329,10.845509962911468
219653,1435245825,7204,Industrial,,Bengaluru East,Bengaluru Urban,Karnataka,India,77.69070771252463,13.07947726703017
219681,1239610857,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.54583654134387,13.018110983764275
219709,1344685071,7204,Industrial,,Tiruvottiyur,Chennai,Tamil Nadu,India,80.26744754972697,13.197698808772088
219718,1460266536,7214,Quarry,,Satyavedu,Tirupati,Andhra Pradesh,India,79.87009686176786,13.50521145587809
219736,1280769499,7204,Industrial,,Hiriyur,Chitradurga,Karnataka,India,76.72051660038923,13.85470625003015
219745,1236975738,7204,Industrial,,Poonamallee,Thiruvallur,Tamil Nadu,India,80.07570347249714,13.080920284625284
219860,1227443039,7204,Industrial,,Sulur,Coimbatore,Tamil Nadu,India,77.16144765107423,10.875005415102816
219972,1303541192,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.66729620597445,12.964779625991667
219976,1313679844,7204,Industrial,,Nelamangala,Bengaluru Rural,Karnataka,India,77.27355404624996,13.192371551532032
220091,1410389583,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.69120536634736,13.015675204804749
220208,1250353899,7214,Quarry,,Tiruttani,Thiruvallur,Tamil Nadu,India,79.55470349226158,13.209874929963808
220223,1461702111,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.71628255977636,12.98815150690441
220234,1422346340,7204,Industrial,,Hosur,Krishnagiri,Tamil Nadu,India,77.87204331210656,12.663296146899036
220251,1223151602,7204,Industrial,,Srirangam,Tiruchirappalli,Tamil Nadu,India,78.72956698025523,10.846692140639213
220276,1233779798,7214,Quarry,,Mulug,Siddipet,Telangana,India,78.5557368496189,17.688259163058635
220382,1223151611,7204,Industrial,,Srirangam,Tiruchirappalli,Tamil Nadu,India,78.71514288727748,10.851703028160934
220400,1248131236,7204,Industrial,,Anekal,Bengaluru Urban,Karnataka,India,77.61163736764624,12.797243618342346
220460,1233330617,7204,Industrial,,Tiruporur,Chengalpattu,Tamil Nadu,India,80.18967987221359,12.690888707206781
220462,1291976334,7204,Industrial,,Bengaluru East,Bengaluru Urban,Karnataka,India,77.65537073013083,13.090167387457075
220478,1327758255,7204,Industrial,,Bengaluru South,Bengaluru Urban,Karnataka,India,77.43418396823982,12.886635395197182
220484,1268432836,7204,Industrial,,Manapparai,Tiruchirappalli,Tamil Nadu,India,78.23605516728443,10.537172725920188
220602,1218347786,7204,Industrial,,Kagwad,Belagavi,Karnataka,India,74.82109782408222,16.650899077381844
220605,1213423787,7204,Industrial,,Pugalur,Karur,Tamil Nadu,India,77.77392699482597,10.959101831628566
220660,1247322359,7204,Industrial,,Nadendla,Palnadu,Andhra Pradesh,India,80.10440136193185,16.197743534813565
220670,1230519602,7214,Quarry,,Yerraguntla,Y S R Kadapa,Andhra Pradesh,India,78.58374517049947,14.600861379506295
220715,1268944111,7204,Industrial,,Renigunta,Tirupati,Andhra Pradesh,India,79.5001419755206,13.623094520804706
220819,1474506874,7204,Industrial,,Bheemunipatnam,Visakhapatnam,Andhra Pradesh,India,83.4100759669955,17.813811100648497
220966,1426018474,7204,Industrial,,Sriperumbudur,Kancheepuram,Tamil Nadu,India,79.9110418600978,12.913785585242922
221055,1233555996,7214,Quarry,,Soan,Nirmal,Telangana,India,78.32486960354922,19.033046462855705
221134,1279894919,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.70937077471137,13.156465494622214
221205,1217250866,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.53090770668437,12.944338875515841
221354,1226390191,7214,Quarry,,Salem,Salem,Tamil Nadu,India,78.19229104425774,11.6463167753877
221362,1365570117,7204,Industrial,,Bengaluru South,Bengaluru Urban,Karnataka,India,77.43468236278932,12.90184760075554
221375,1321942257,7204,Industrial,,Kankipadu,Krishna,Andhra Pradesh,India,80.78460930276712,16.41452442448279
221410,1446665421,7214,Quarry,,Bidar,Bidar,Karnataka,India,77.39769532515534,17.82697028085165
221472,1227450813,7204,Industrial,,Peraiyur,Madurai,Tamil Nadu,India,77.80219836479353,9.687225865460622
221518,1356956655,7204,Industrial,,Thirupparankundram,Madurai,Tamil Nadu,India,78.05601660765004,9.882584000429844
221541,1231732019,7204,Industrial,,Kadavur,Karur,Tamil Nadu,India,78.26081148102227,10.77255079690834
221580,1225730672,7204,Industrial,,Metpalli,Jagitial,Telangana,India,78.6354286749546,18.794909594254314
221596,1270620121,7204,Industrial,,Thiruvallur,Thiruvallur,Tamil Nadu,India,79.85243204832601,12.986823261541367
221610,1278497890,7204,Industrial,,Devanahalli,Bengaluru Rural,Karnataka,India,77.7776375462475,13.23049317984919
221618,1456175545,7204,Industrial,,Bengaluru South,Bengaluru Urban,Karnataka,India,77.42881155597917,12.89166355042408
221622,1243963315,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.54103834225201,12.859882294461269
221655,1280838889,7204,Industrial,,Chitradurga,Chitradurga,Karnataka,India,76.21458973972308,14.336436543798992
221702,1222021671,7204,Industrial,,Ilkal,Bagalkote,Karnataka,India,76.0858987594134,15.970854330684787
221737,1227551671,7204,Industrial,,Chodavaram,Anakapalli,Andhra Pradesh,India,82.96042387410915,17.804885867929457
221752,1230631682,7214,Quarry,,Sandur,Ballari,Karnataka,India,76.6845264122634,15.148779327940177
221780,17367383,7204,Industrial,,Hole Narsipur,Hassan,Karnataka,India,76.20041259313147,12.756206599757714
221790,1225004302,7204,Industrial,,Tirur,Malappuram,Kerala,India,76.06159642239045,10.924294415224976
221851,1223151580,7204,Industrial,,Srirangam,Tiruchirappalli,Tamil Nadu,India,78.7181555403504,10.859067356549444
221877,1222109664,7204,Industrial,,Kadaladi,Ramanathapuram,Tamil Nadu,India,78.54007249240976,9.155043251182345
221883,1228760183,7204,Industrial,,Chittapur,Kalaburagi,Karnataka,India,76.9775154997716,17.05506993213014
221908,1228898098,7204,Industrial,,Aravakurichi,Karur,Tamil Nadu,India,77.82434083768248,10.641355645438656
221944,1230638977,7214,Quarry,,Punganuru,Chittoor,Andhra Pradesh,India,78.57758966774898,13.438587850162689
221967,1244605262,7204,Industrial,,Nelamangala,Bengaluru Rural,Karnataka,India,77.40821673028263,13.130255009410854
222086,1391100170,7204,Industrial,,Sriperumbudur,Kancheepuram,Tamil Nadu,India,79.90769948134303,12.89561640757357
222167,1264728156,7204,Industrial,,Kangeyam,Tiruppur,Tamil Nadu,India,77.61440093293821,10.967466100589798
222216,1422777744,7204,Industrial,,Hosakote,Bengaluru Rural,Karnataka,India,77.83056641786341,12.994145393638124
222240,1313679841,7204,Industrial,,Nelamangala,Bengaluru Rural,Karnataka,India,77.29212528551409,13.182032124053155
222272,1273890907,7204,Industrial,,Dattirajeru,Vizianagaram,Andhra Pradesh,India,83.36251848159048,18.39251675254835
222321,1284306159,7214,Quarry,,Kotabommali,Srikakulam,Andhra Pradesh,India,84.15934575667966,18.558379405911857
222458,1456405518,7204,Industrial,,Bengaluru East,Bengaluru Urban,Karnataka,India,77.73527739065152,13.03854049368447
222464,1250353864,7204,Industrial,,Yadamarri,Chittoor,Andhra Pradesh,India,79.02756819433984,13.14182454431064
222629,1234973006,7204,Industrial,,Gandipet,Ranga Reddy,Telangana,India,78.33968150591477,17.404017574634995
222688,1230706637,7204,Industrial,,Mandapeta,Dr BR Ambedkar Konaseema,Andhra Pradesh,India,81.92555120555932,16.930562981987645
222872,1250475609,7214,Quarry,,Chittoor Rural,Chittoor,Andhra Pradesh,India,79.07267037879262,13.215479314036001
222885,1484041666,7204,Industrial,,Anekal,Bengaluru Urban,Karnataka,India,77.80240682033916,12.858725864477456
222921,1326290076,7204,Industrial,,Kunnathunad,Ernakulam,Kerala,India,76.48697548343344,10.050647187412046
222925,1424076019,7204,Industrial,,Hosakote,Bengaluru Rural,Karnataka,India,77.84200365899974,13.122970321019393
222979,1264585915,7204,Industrial,,Sira,Tumakuru,Karnataka,India,76.7695727700111,13.611133755339438
223013,1266460890,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.67749051785297,13.02530579275541
223184,1262257882,7204,Industrial,,Laxmeshwar,Gadag,Karnataka,India,75.4698109050314,15.084029000876578
223259,1388300999,7214,Quarry,,Devanahalli,Bengaluru Rural,Karnataka,India,77.66873606591994,13.295714708319606
223450,1260639522,7204,Industrial,,Gurrampode,Nalgonda,Telangana,India,79.05308651676582,16.813117046040826
223463,1262097993,7204,Industrial,,Bengaluru North,Bengaluru Urban,Karnataka,India,77.47213736771054,12.96596394536621
223470,1250224191,7204,Industrial,,Gudipala,Chittoor,Andhra Pradesh,India,79.13862190287705,13.090469311658921
223554,1231732018,7204,Industrial,,Kadavur,Karur,Tamil Nadu,India,78.29871376063977,10.70535641600893
223582,1268366785,7204,Industrial,,Virudhunagar,Virudhunagar,Tamil Nadu,India,77.96906138631054,9.498120885903923
223675,1260650007,7204,Industrial,,Chittoor Urban,Chittoor,Andhra Pradesh,India,79.09025081870325,13.190344763035597
223773,1268447059,7204,Industrial,,Aravakurichi,Karur,Tamil Nadu,India,77.95368497381114,10.726414259210232
223927,1261408232,7204,Industrial,,Gadag,Gadag,Karnataka,India,75.51592618220832,15.370189650975176
223986,1446303668,7214,Quarry,,Khanapur,Belagavi,Karnataka,India,74.4809438826284,15.592120812039624
224000,1385380739,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.70308324902967,12.994888670043498
224015,1267712400,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.7066541421661,12.991523549241839
224085,1260645137,7204,Industrial,,Chinthapally,Nalgonda,Telangana,India,78.83109067687796,16.837122545150507
224293,1264776476,7204,Industrial,,Vilathikulam,Thoothukkudi,Tamil Nadu,India,78.32850921219708,9.106896244938971
224333,1299543123,7204,Industrial,,Natham,Dindigul,Tamil Nadu,India,78.24283968916083,10.241040295756546
224431,1266460889,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.67790418050869,13.027588441639436
224593,1243259757,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.6888317311388,12.907783555205887
224600,1353875444,7204,Industrial,,Anekal,Bengaluru Urban,Karnataka,India,77.73264312154454,12.788697246436818
224631,1248131229,7204,Industrial,,Anekal,Bengaluru Urban,Karnataka,India,77.62092137949101,12.795500308662126
224674,1270596144,7204,Industrial,,Kancheepuram,Kancheepuram,Tamil Nadu,India,79.81967768412427,12.872207390519613
224679,1286171973,7204,Industrial,,Hosakote,Bengaluru Rural,Karnataka,India,77.81833987357743,13.116988839746737
